City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pevek,RU,69.7008,170.3133,27.88,70,76,4.83,broken clouds
1,Mataura,NZ,-46.1927,168.8643,40.48,95,99,12.12,light rain
2,Tomatlan,MX,19.9333,-105.25,73.45,95,89,1.66,overcast clouds
3,Caravelas,BR,-17.7125,-39.2481,73.96,82,60,10.04,broken clouds
4,Punta Arenas,CL,-53.15,-70.9167,42.91,81,75,17.27,broken clouds
5,Kapaa,US,22.0752,-159.319,82.38,75,40,13.8,scattered clouds
6,Saint-Philippe,RE,-21.3585,55.7679,76.59,72,40,11.32,scattered clouds
7,Kitui,KE,-1.367,38.0106,65.43,58,6,8.03,clear sky
8,Klaksvik,FO,62.2266,-6.589,49.12,84,14,34.69,light rain
9,Nandurbar,IN,21.3667,74.25,86.81,50,40,11.39,scattered clouds
10,Albany,US,42.6001,-73.9662,52.39,81,100,4.34,overcast clouds
11,Spasskoye,RU,44.6108,132.7969,46.54,31,2,8.32,clear sky
12,Jamestown,US,42.097,-79.2353,49.64,70,0,10.36,clear sky
13,Leh,IN,34.1667,77.5833,46.67,44,2,4.94,clear sky
14,Chuy,UY,-33.6971,-53.4616,52.77,93,0,4.72,clear sky
15,Narsaq,GL,60.9167,-46.05,37.62,99,100,7.9,light rain
16,Vaini,TO,-21.2,-175.2,73.56,94,75,10.36,thunderstorm
17,Port Alfred,ZA,-33.5906,26.891,60.53,85,0,8.7,clear sky
18,Dikson,RU,73.5069,80.5464,32.04,76,100,17.45,overcast clouds
19,Swakopmund,NA,-22.6833,14.5333,53.98,87,10,3.0,clear sky
20,Bintulu,MY,3.1667,113.0333,84.61,79,40,4.61,scattered clouds
21,Arraial Do Cabo,BR,-22.9661,-42.0278,68.13,86,100,4.9,overcast clouds
22,Skegness,GB,53.1436,0.3363,62.67,83,100,25.57,overcast clouds
23,Longyearbyen,SJ,78.2186,15.6401,37.24,75,40,18.41,scattered clouds
24,Zhigansk,RU,66.7697,123.3711,27.28,73,100,6.15,overcast clouds
25,Avarua,CK,-21.2078,-159.775,75.25,73,20,18.41,few clouds
26,Bredasdorp,ZA,-34.5322,20.0403,49.51,78,53,4.79,broken clouds
