City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ilulissat,GL,2022-09-28 20:00:19,69.2167,-51.1,37.42,93,75,6.91
1,Albany,US,2022-09-28 19:56:56,42.6001,-73.9662,66.38,74,56,1.99
2,Barrow,US,2022-09-28 20:00:20,71.2906,-156.7887,28.42,86,100,20.71
3,Buraydah,SA,2022-09-28 20:00:22,26.326,43.975,82.83,15,1,6.38
4,Rikitea,PF,2022-09-28 20:00:22,-23.1203,-134.9692,72.03,59,98,12.57
5,Mataura,NZ,2022-09-28 20:00:24,-46.1927,168.8643,49.48,99,100,6.06
6,Ushuaia,AR,2022-09-28 20:00:25,-54.8,-68.3,49.57,78,99,9.31
7,Zhigansk,RU,2022-09-28 20:00:25,66.7697,123.3711,27.43,84,79,4.92
8,Mizque,BO,2022-09-28 20:00:25,-17.941,-65.3402,77.07,38,12,18.45
9,Ibra,OM,2022-09-28 20:00:26,22.6906,58.5334,77.36,73,15,5.5
10,Tuatapere,NZ,2022-09-28 20:00:26,-46.1333,167.6833,48.85,93,100,9.64
11,Umba,RU,2022-09-28 20:00:27,66.6871,34.3429,40.64,93,86,9.48
12,Saint George,US,2022-09-28 20:00:05,37.1041,-113.5841,84.94,34,65,5.01
13,Georgetown,MY,2022-09-28 19:57:12,5.4112,100.3354,79.95,95,20,2.3
14,Sitka,US,2022-09-28 20:00:27,57.0531,-135.33,53.49,82,75,3.44
15,Tiznit,MA,2022-09-28 20:00:28,29.5833,-9.5,64.18,71,14,6.2
16,Bandar-E Lengeh,IR,2022-09-28 20:00:28,26.5579,54.8807,85.8,73,0,2.3
17,Mar Del Plata,AR,2022-09-28 20:00:06,-38.0023,-57.5575,57.94,48,0,1.99
18,Touros,BR,2022-09-28 20:00:29,-5.1989,-35.4608,78.1,69,0,15.59
19,Ribeira Grande,PT,2022-09-28 20:00:29,38.5167,-28.7,70.2,68,40,9.22
20,Bluff,NZ,2022-09-28 20:00:30,-46.6,168.3333,49.8,86,100,12.8
21,Tchaourou,BJ,2022-09-28 20:00:30,8.8865,2.5975,70.56,97,100,5.48
22,Busselton,AU,2022-09-28 20:00:30,-33.65,115.3333,54.23,87,2,10.87
23,Hobyo,SO,2022-09-28 20:00:31,5.3505,48.5268,77.11,88,12,22.41
24,Padang,ID,2022-09-28 20:00:31,-0.9492,100.3543,75.88,87,100,4.34
25,Caluquembe,AO,2022-09-28 20:00:32,-13.7833,14.6833,69.71,38,69,6.24
26,Punta Arenas,CL,2022-09-28 19:59:09,-53.15,-70.9167,57.31,47,0,26.46
27,Avarua,CK,2022-09-28 20:00:33,-21.2078,-159.775,78.85,83,75,11.5
